2242, 2304, 2278, 2277
0.000, 0.000, -0.001, -30.572
2240, 2304, 2280, 2284
0.000, 0.000, -0.001, -1.861
2244, 2312, 2275, 2277
0.000, 0.000, -0.001, -16.217
2240, 2304, 2287, 2272
0.000, 0.000, -0.002, 12.494
2252, 2304, 2282, 2270
0.000, 0.000, -0.002, 14.887
2240, 2308, 2283, 2274
0.000, 0.000, -0.002, -13.824
2243, 2304, 2275, 2272
0.000, 0.000, -0.003, 17.279
2242, 2304, 2277, 2272
-0.003, 0.000, -0.003, 36.420
2240, 2305, 2280, 2276
-0.011, 0.000, -0.004, 0.531
2241, 2304, 2278, 2283
-0.011, 0.000, -0.004, -18.609
2273, 2304, 2291, 2272
-0.011, 0.000, -0.003, 12.494
2249, 2293, 2286, 2277
-0.602, 0.002, -0.004, 290.033
2245, 2296, 2295, 2284
1.093, -0.004, -0.003, 53.168
2249, 2304, 2310, 2304
5.110, -0.015, -0.004, -49.713
2256, 2304, 2336, 2305
10.251, -0.042, -0.005, -133.453
2256, 2304, 2345, 2342
16.602, -0.069, -0.004, -190.875
2272, 2306, 2385, 2380
25.300, -0.093, -0.001, -159.772
2328, 2306, 2436, 2437
33.356, -0.087, 0.002, -310.504
2354, 2337, 2496, 2476
41.237, -0.060, 0.005, -195.660
2368, 2346, 2538, 2530
47.301, -0.022, 0.008, -147.809
2369, 2385, 2602, 2594
52.844, 0.037, 0.012, 65.131
2368, 2403, 2672, 2662
58.331, 0.106, 0.013, -123.883
2373, 2408, 2736, 2720
62.386, 0.160, 0.011, 24.457
2400, 2416, 2770, 2731
64.024, 0.178, 0.010, -49.713
2382, 2402, 2776, 2728
64.254, 0.180, 0.010, 41.205
2384, 2400, 2768, 2746
64.254, 0.180, 0.011, 122.553
2386, 2400, 2768, 2734
64.261, 0.180, 0.011, 29.242
2369, 2402, 2720, 2690
61.652, 0.150, 0.011, 196.723
2381, 2403, 2720, 2709
61.646, 0.149, 0.013, -375.104
2379, 2408, 2708, 2687
61.344, 0.146, 0.012, -21.002
2361, 2398, 2689, 2664
59.571, 0.126, 0.011, 0.531
2394, 2400, 2641, 2640
57.092, 0.092, 0.015, -233.941
2375, 2361, 2560, 2560
49.343, -0.029, 0.015, -561.725
2328, 2306, 2465, 2488
38.825, -0.181, 0.015, -6.647
2283, 2288, 2406, 2424
29.578, -0.323, 0.016, -42.535
2264, 2304, 2358, 2372
20.296, -0.478, 0.016, 55.560
2256, 2288, 2305, 2338
11.124, -0.617, 0.013, 213.471
2260, 2287, 2288, 2306
3.027, -0.715, 0.011, 72.308
2260, 2288, 2260, 2288
-3.932, -0.788, 0.011, -219.586
2244, 2286, 2236, 2255
-13.178, -0.874, 0.008, -78.424
2243, 2289, 2232, 2241
-20.900, -0.929, 0.006, -40.143
2264, 2288, 2212, 2213
-27.354, -0.961, 0.005, 72.308
2244, 2290, 2208, 2215
-32.859, -1.002, 0.010, -303.326
2242, 2296, 2194, 2209
-39.135, -1.067, 0.010, -30.572
2256, 2284, 2192, 2192
-46.051, -1.134, 0.011, -37.750
2242, 2285, 2176, 2185
-53.415, -1.219, 0.012, 105.805
2244, 2272, 2178, 2198
-58.295, -1.277, 0.013, -44.928
2240, 2270, 2172, 2179
-63.698, -1.352, 0.014, -6.647
2241, 2272, 2152, 2171
-70.767, -1.457, 0.015, -66.461
2244, 2276, 2162, 2162
-76.122, -1.540, 0.015, -114.313
2240, 2282, 2146, 2160
-80.806, -1.611, 0.015, 60.346
2241, 2274, 2160, 2153
-84.262, -1.663, 0.016, -9.039
2248, 2272, 2151, 2152
-87.177, -1.712, 0.017, 148.871
2242, 2264, 2147, 2152
-87.983, -1.725, 0.017, 31.635
2248, 2266, 2146, 2161
-87.983, -1.725, 0.017, -56.891
2256, 2268, 2144, 2160
-87.987, -1.725, 0.016, -1.861
2248, 2275, 2146, 2154
-87.987, -1.725, 0.016, -229.156
2236, 2272, 2144, 2156
-87.533, -1.718, 0.016, -32.965
2244, 2270, 2160, 2162
-85.229, -1.683, 0.015, -123.883
2242, 2275, 2148, 2161
-81.553, -1.626, 0.016, -66.461
2245, 2272, 2160, 2160
-76.948, -1.554, 0.016, -1.861
2244, 2266, 2165, 2169
-70.578, -1.452, 0.015, 199.115
2244, 2273, 2164, 2184
-60.473, -1.306, 0.014, -28.180
2248, 2268, 2174, 2198
-51.513, -1.174, 0.014, 74.701
2244, 2285, 2191, 2198
-43.939, -1.085, 0.010, 129.730
2249, 2276, 2192, 2219
-37.046, -1.020, 0.009, -32.965
2244, 2290, 2210, 2221
-29.032, -0.954, 0.007, 7.709
2244, 2304, 2224, 2240
-20.302, -0.902, 0.005, 163.226
2248, 2304, 2242, 2252
-13.449, -0.879, 0.002, 0.531
2244, 2304, 2256, 2276
-6.691, -0.859, 0.004, -97.565
2241, 2293, 2266, 2288
-2.358, -0.842, 0.004, 77.094
2258, 2297, 2274, 2291
0.085, -0.831, 0.006, -4.254
2245, 2294, 2273, 2289
0.211, -0.830, 0.005, -23.395
2256, 2304, 2285, 2290
0.213, -0.830, 0.004, -11.432
2257, 2298, 2274, 2292
-0.155, -0.831, 0.004, 79.486
2250, 2288, 2280, 2290
-0.346, -0.832, 0.005, -44.928
2250, 2304, 2272, 2276
-2.886, -0.846, 0.006, -66.461
2257, 2296, 2258, 2286
-5.061, -0.862, 0.008, -13.824
2257, 2288, 2258, 2272
-6.759, -0.875, 0.009, 93.842
2248, 2288, 2256, 2271
-9.101, -0.896, 0.009, -18.609
2254, 2288, 2241, 2257
-11.502, -0.919, 0.011, -30.572
2256, 2298, 2244, 2256
-14.078, -0.947, 0.012, -111.920
2244, 2290, 2226, 2244
-16.653, -0.979, 0.012, -28.180
2247, 2276, 2240, 2242
-19.272, -1.013, 0.014, -186.090
2260, 2276, 2226, 2240
-21.545, -1.046, 0.015, 17.279
2253, 2296, 2219, 2240
-24.209, -1.086, 0.016, -11.432
2249, 2272, 2208, 2243
-26.500, -1.122, 0.016, -16.217
2250, 2270, 2221, 2238
-27.069, -1.131, 0.015, 12.494
2250, 2272, 2210, 2229
-26.907, -1.127, 0.018, -56.891
